strategy,student_type,episode_id,step,effective_max_steps,phase,route,focus_skill,target_skill,active_skill,active_family,hit_subskill,progression_gate_active,foundation_mastery_mean,polynomial_mastery,mastery_before,mastery_after,integer_mastery,fraction_mastery,radical_mastery,zpd_gain_scale,weakest_subskill_mastery,prerequisite_transfer_bonus,rag_triggered,rag_bonus,rag_intervention_count,rag_tier,rag_decay_factor,rag_bonus_after_decay,is_correct,correct,was_remediation,was_unnecessary_remediation,is_return_to_mainline,fail_streak,sign_handling_mastery,combine_like_terms_mastery,sign_distribution_mastery,expand_monomial_mastery,expand_binomial_mastery,family_isomorphism_mastery
AB3_PPO_Dynamic,Careless,4,8,40,mainline,mainline,expand_monomial,polynomial,polynomial,poly_mul_monomial,expand_monomial,False,,0.79806,0.768133,0.79806,0.874645,0.764778,0.853576,1.2,0.746528,0.0,0,0.0,0,,1.0,0.0,1,1,0,0,1,0,0.884406,0.85187,0.746528,0.783419,0.853576,0.764778
AB3_PPO_Dynamic,Careless,4,9,40,mainline,mainline,expand_monomial,polynomial,polynomial,poly_mul_monomial,expand_monomial,False,,0.794122,0.79806,0.794122,0.874645,0.764778,0.853576,1.0,0.746528,0.0,0,0.0,0,,1.0,0.0,0,0,0,0,0,1,0.884406,0.85187,0.746528,0.748419,0.853576,0.764778
AB3_PPO_Dynamic,Careless,4,10,40,mainline,mainline,expand_monomial,polynomial,polynomial,poly_mul_monomial,expand_monomial,False,,0.801716,0.794122,0.801716,0.874645,0.764778,0.853576,0.75,0.746528,0.0,0,0.0,0,,1.0,0.0,1,1,0,0,0,0,0.884406,0.85187,0.746528,0.815919,0.853576,0.764778
AB3_PPO_Dynamic,Careless,5,1,40,mainline,mainline,expand_monomial,polynomial,polynomial,poly_mul_monomial,expand_monomial,False,,0.671003,0.676441,0.671003,0.625223,0.931503,0.627273,1.0,0.505633,0.0,0,0.0,0,,1.0,0.0,0,0,0,0,0,1,0.593345,0.699607,0.98,0.505633,0.627273,0.931503
AB3_PPO_Dynamic,Careless,5,2,40,mainline,mainline,expand_monomial,polynomial,polynomial,poly_mul_monomial,expand_monomial,False,,0.665566,0.671003,0.665566,0.625223,0.931503,0.627273,1.0,0.490633,0.0,0,0.0,0,,1.0,0.0,0,0,0,0,0,2,0.593345,0.699607,0.98,0.490633,0.627273,0.931503
AB3_PPO_Dynamic,Careless,5,3,40,remediation,remediation,expand_monomial,polynomial,polynomial,poly_mul_monomial,expand_monomial,False,,0.661759,0.665566,0.661759,0.625223,0.931503,0.627273,1.0,0.480133,0.0,0,0.0,0,,1.0,0.0,0,0,1,0,0,3,0.593345,0.699607,0.98,0.480133,0.627273,0.931503
AB3_PPO_Dynamic,Careless,5,4,40,remediation,remediation,expand_monomial,polynomial,polynomial,poly_mul_monomial,expand_monomial,False,,0.703184,0.661759,0.703184,0.625223,0.931503,0.627273,1.2,0.593345,0.0,0,0.0,0,,1.0,0.0,1,1,1,0,0,0,0.593345,0.699607,0.98,0.596773,0.627273,0.931503
AB3_PPO_Dynamic,Careless,5,5,40,mainline,mainline,expand_monomial,polynomial,polynomial,poly_mul_monomial,expand_monomial,False,,0.715334,0.703184,0.715334,0.625223,0.931503,0.627273,1.2,0.593345,0.0,0,0.0,0,,1.0,0.0,1,1,0,0,1,0,0.593345,0.699607,0.98,0.704773,0.627273,0.931503
AB3_PPO_Dynamic,Careless,5,6,40,mainline,mainline,expand_binomial,polynomial,polynomial,poly_mul_poly,expand_binomial,False,,0.728834,0.715334,0.728834,0.625223,0.931503,0.735273,1.2,0.593345,0.0,0,0.0,0,,1.0,0.0,1,1,0,0,0,0,0.593345,0.699607,0.98,0.704773,0.735273,0.931503
AB3_PPO_Dynamic,Careless,5,7,40,mainline,mainline,combine_like_terms,polynomial,polynomial,poly_add_sub_flat,combine_like_terms,False,,0.724022,0.728834,0.724022,0.614723,0.931503,0.735273,1.0,0.593345,0.0,0,0.0,0,,1.0,0.0,0,0,0,0,0,1,0.593345,0.664607,0.98,0.704773,0.735273,0.931503
AB3_PPO_Dynamic,Careless,5,8,40,mainline,mainline,combine_like_terms,polynomial,polynomial,poly_add_sub_flat,combine_like_terms,False,,0.721959,0.724022,0.721959,0.610223,0.931503,0.735273,1.0,0.593345,0.0,0,0.0,0,,1.0,0.0,0,0,0,0,0,2,0.593345,0.649607,0.98,0.704773,0.735273,0.931503
AB3_PPO_Dynamic,Careless,5,9,40,remediation,remediation,combine_like_terms,polynomial,polynomial,poly_add_sub_flat,combine_like_terms,False,,0.746609,0.721959,0.746609,0.646394,0.931503,0.735273,1.2,0.594524,0.00786,0,0.0,0,,1.0,0.0,1,1,1,0,0,0,0.594524,0.767426,0.981179,0.704773,0.735273,0.931503
AB3_PPO_Dynamic,Careless,5,10,40,remediation,remediation,combine_like_terms,polynomial,polynomial,poly_add_sub_flat,combine_like_terms,False,,0.73538,0.746609,0.73538,0.639044,0.931503,0.735273,1.0,0.594524,0.0,0,0.0,0,,1.0,0.0,0,0,1,0,0,1,0.594524,0.742926,0.981179,0.704773,0.735273,0.931503
AB3_PPO_Dynamic,Careless,5,11,40,mainline,mainline,expand_monomial,polynomial,polynomial,poly_mul_monomial,expand_monomial,False,,0.742974,0.73538,0.742974,0.639044,0.931503,0.735273,0.75,0.594524,0.0,0,0.0,0,,1.0,0.0,1,1,0,0,1,0,0.594524,0.742926,0.981179,0.772273,0.735273,0.931503
AB3_PPO_Dynamic,Careless,5,12,40,mainline,mainline,expand_binomial,polynomial,polynomial,poly_mul_poly,expand_binomial,False,,0.751411,0.742974,0.751411,0.639044,0.931503,0.802773,0.75,0.594524,0.0,0,0.0,0,,1.0,0.0,1,1,0,0,0,0,0.594524,0.742926,0.981179,0.772273,0.802773,0.931503
